backend,num_states,table_kb,throughput_gbps,gpu,note
cuda,1024,1024,270.8,RTX4070,fits L2 (36 MB)
warp,1024,1024,123.4,RTX4070,fits L2 (36 MB)
triton,1024,1024,29.2,RTX4070,fits L2 (36 MB)
cuda,2048,2048,300.6,RTX4070,fits L2 (36 MB)
warp,2048,2048,130.4,RTX4070,fits L2 (36 MB)
triton,2048,2048,29.2,RTX4070,fits L2 (36 MB)
cuda,4096,4096,302.7,RTX4070,fits L2 (36 MB)
warp,4096,4096,136.1,RTX4070,fits L2 (36 MB)
triton,4096,4096,28.9,RTX4070,fits L2 (36 MB)
cuda,6144,6144,364.1,RTX4070,fits L2 (36 MB)
warp,6144,6144,177.4,RTX4070,fits L2 (36 MB)
triton,6144,6144,29.0,RTX4070,fits L2 (36 MB)
cuda,8192,8192,337.8,RTX4070,fits L2 (36 MB)
warp,8192,8192,169.6,RTX4070,fits L2 (36 MB)
triton,8192,8192,29.4,RTX4070,fits L2 (36 MB)
cuda,16384,16384,227.6,RTX4070,fits L2 (36 MB)
warp,16384,16384,129.0,RTX4070,fits L2 (36 MB)
triton,16384,16384,29.0,RTX4070,fits L2 (36 MB)
cuda,32768,32768,176.4,RTX4070,fits L2 (36 MB)
warp,32768,32768,112.5,RTX4070,fits L2 (36 MB)
triton,32768,32768,31.8,RTX4070,fits L2 (36 MB)
cuda,50000,50000,163.2,RTX4070,exceeds L2 (36 MB)
warp,50000,50000,108.3,RTX4070,exceeds L2 (36 MB)
triton,50000,50000,30.3,RTX4070,exceeds L2 (36 MB)
cuda,100000,100000,163.1,RTX4070,exceeds L2 (36 MB)
warp,100000,100000,114.1,RTX4070,exceeds L2 (36 MB)
triton,100000,100000,30.9,RTX4070,exceeds L2 (36 MB)
